지역,거래일,시간,계량값
강원도,2017-01-01,00,2.065478323
강원도,2017-01-01,01,1.76251069
강원도,2017-01-01,02,1.30467301
강원도,2017-01-01,03,1.240587598
강원도,2017-01-01,04,1.209357033
강원도,2017-01-01,05,1.234057465
강원도,2017-01-01,06,1.304743656
강원도,2017-01-01,07,1.250662353
강원도,2017-01-01,08,1.430607189
강원도,2017-01-01,09,1.492399934
강원도,2017-01-01,10,1.529424444
강원도,2017-01-01,11,1.49874879
강원도,2017-01-01,12,1.322845387
강원도,2017-01-01,13,1.37495071
강원도,2017-01-01,14,1.363566359
강원도,2017-01-01,15,1.403327354
강원도,2017-01-01,16,1.439226733
강원도,2017-01-01,17,1.648357444
강원도,2017-01-01,18,2.085990372
강원도,2017-01-01,19,2.066380906
강원도,2017-01-01,20,1.995236905
강원도,2017-01-01,21,1.972363538
강원도,2017-01-01,22,1.91695068
강원도,2017-01-01,23,1.762758194
강원도,2017-01-02,00,1.3162249
강원도,2017-01-02,01,1.344182295
강원도,2017-01-02,02,1.353366927
강원도,2017-01-02,03,1.371694257
강원도,2017-01-02,04,1.336753837
강원도,2017-01-02,05,1.366581105
강원도,2017-01-02,06,1.350225466
강원도,2017-01-02,07,1.432170323
강원도,2017-01-02,08,1.639981543
강원도,2017-01-02,09,2.065407922
강원도,2017-01-02,10,2.718667354
강원도,2017-01-02,11,3.579462473
강원도,2017-01-02,12,3.178418782
강원도,2017-01-02,13,3.510977609
강원도,2017-01-02,14,3.707895109
강원도,2017-01-02,15,3.579359233
강원도,2017-01-02,16,3.57780489
강원도,2017-01-02,17,3.321982413
강원도,2017-01-02,18,3.325872144
강원도,2017-01-02,19,3.442936872
강원도,2017-01-02,20,3.741376243
강원도,2017-01-02,21,3.53635837
강원도,2017-01-02,22,3.159629179
강원도,2017-01-02,23,3.574040836
강원도,2017-01-03,00,3.177675667
강원도,2017-01-03,01,3.116565345
강원도,2017-01-03,02,3.154960389
강원도,2017-01-03,03,3.157693664
강원도,2017-01-03,04,3.13377785
강원도,2017-01-03,05,3.092838474
강원도,2017-01-03,06,3.087091993
강원도,2017-01-03,07,3.090106132
강원도,2017-01-03,08,3.507321517
강원도,2017-01-03,09,3.863469228
강원도,2017-01-03,10,3.88600855
강원도,2017-01-03,11,3.826321135
강원도,2017-01-03,12,3.181551932
강원도,2017-01-03,13,3.219889401
강원도,2017-01-03,14,3.659508039
강원도,2017-01-03,15,3.882644677
강원도,2017-01-03,16,4.03360887
강원도,2017-01-03,17,4.076428307
강원도,2017-01-03,18,3.809667758
강원도,2017-01-03,19,3.699367591
강원도,2017-01-03,20,3.463826413
강원도,2017-01-03,21,3.334428301
강원도,2017-01-03,22,3.256027099
강원도,2017-01-03,23,3.713410546
강원도,2017-01-04,00,3.159453195
강원도,2017-01-04,01,3.04686862
강원도,2017-01-04,02,3.030282835
강원도,2017-01-04,03,3.010050125
강원도,2017-01-04,04,2.99944231
강원도,2017-01-04,05,2.954540241
강원도,2017-01-04,06,2.933994149
