지역,거래일,시간,계량값
강원도,2014-01-01,00,1.786907991
강원도,2014-01-01,01,1.496851062
강원도,2014-01-01,02,1.523211989
강원도,2014-01-01,03,1.525534089
강원도,2014-01-01,04,1.752960634
강원도,2014-01-01,05,2.0540612
강원도,2014-01-01,06,2.148665244
강원도,2014-01-01,07,1.794646888
강원도,2014-01-01,08,1.617287833
강원도,2014-01-01,09,1.64622865
강원도,2014-01-01,10,1.473022642
강원도,2014-01-01,11,1.364581232
강원도,2014-01-01,12,1.334758061
강원도,2014-01-01,13,1.332592673
강원도,2014-01-01,14,1.344736074
강원도,2014-01-01,15,1.34249038
강원도,2014-01-01,16,1.329214015
강원도,2014-01-01,17,1.841913016
강원도,2014-01-01,18,1.966137572
강원도,2014-01-01,19,1.645572587
강원도,2014-01-01,20,1.606300944
강원도,2014-01-01,21,1.585570111
강원도,2014-01-01,22,2.151788252
강원도,2014-01-01,23,1.840969686
강원도,2014-01-02,00,1.797551529
강원도,2014-01-02,01,1.627927608
강원도,2014-01-02,02,1.595484503
강원도,2014-01-02,03,1.597830337
강원도,2014-01-02,04,1.570999061
강원도,2014-01-02,05,1.497573089
강원도,2014-01-02,06,1.578119822
강원도,2014-01-02,07,2.064267777
강원도,2014-01-02,08,2.724766006
강원도,2014-01-02,09,3.16524743
강원도,2014-01-02,10,3.096843025
강원도,2014-01-02,11,2.902095344
강원도,2014-01-02,12,2.623220182
강원도,2014-01-02,13,2.710814413
강원도,2014-01-02,14,3.067699382
강원도,2014-01-02,15,2.731642667
강원도,2014-01-02,16,2.920683254
강원도,2014-01-02,17,3.752695034
강원도,2014-01-02,18,3.645236202
강원도,2014-01-02,19,3.273015895
강원도,2014-01-02,20,2.732834317
강원도,2014-01-02,21,2.692244476
강원도,2014-01-02,22,3.015712335
강원도,2014-01-02,23,3.343852682
강원도,2014-01-03,00,2.699859074
강원도,2014-01-03,01,1.675216451
강원도,2014-01-03,02,1.622682576
강원도,2014-01-03,03,1.601958679
강원도,2014-01-03,04,1.604246501
강원도,2014-01-03,05,1.560106491
강원도,2014-01-03,06,1.889475849
강원도,2014-01-03,07,2.678405219
강원도,2014-01-03,08,3.632246557
강원도,2014-01-03,09,4.098989586
강원도,2014-01-03,10,4.103685292
강원도,2014-01-03,11,3.852526249
강원도,2014-01-03,12,2.716192048
강원도,2014-01-03,13,3.000705939
강원도,2014-01-03,14,3.553516677
강원도,2014-01-03,15,3.469360736
강원도,2014-01-03,16,3.566507244
강원도,2014-01-03,17,3.680268112
강원도,2014-01-03,18,3.520592121
강원도,2014-01-03,19,3.263379005
강원도,2014-01-03,20,2.749928125
강원도,2014-01-03,21,2.700294187
강원도,2014-01-03,22,2.967486594
강원도,2014-01-03,23,3.317724236
강원도,2014-01-04,00,2.657278884
강원도,2014-01-04,01,2.569923016
강원도,2014-01-04,02,2.57661564
강원도,2014-01-04,03,2.680812691
강원도,2014-01-04,04,2.699663128
강원도,2014-01-04,05,2.681190232
강원도,2014-01-04,06,2.687109834
강원도,2014-01-04,07,2.637725232
강원도,2014-01-04,08,2.952977776
강원도,2014-01-04,09,3.158054172
강원도,2014-01-04,10,3.114864544
강원도,2014-01-04,11,2.79534982
강원도,2014-01-04,12,2.208610798
강원도,2014-01-04,13,1.689037913
강원도,2014-01-04,14,1.682948154
강원도,2014-01-04,15,1.86882239
강원도,2014-01-04,16,1.96149972
강원도,2014-01-04,17,1.533373904
강원도,2014-01-04,18,1.374317644
강원도,2014-01-04,19,1.376795276
강원도,2014-01-04,20,1.375109786
강원도,2014-01-04,21,1.440737468
강원도,2014-01-04,22,2.027451466
강원도,2014-01-04,23,2.00978593
강원도,2014-01-05,00,1.438034756
강원도,2014-01-05,01,1.369871154
강원도,2014-01-05,02,1.368150752
강원도,2014-01-05,03,1.369537434
강원도,2014-01-05,04,1.37205899
강원도,2014-01-05,05,1.586353776
강원도,2014-01-05,06,1.924361776
강원도,2014-01-05,07,1.427628968
강원도,2014-01-05,08,1.369520104
강원도,2014-01-05,09,1.371794307
강원도,2014-01-05,10,1.386058115
강원도,2014-01-05,11,1.398323839
강원도,2014-01-05,12,1.399376768
강원도,2014-01-05,13,1.395216842
강원도,2014-01-05,14,1.402549629
강원도,2014-01-05,15,1.409192306
강원도,2014-01-05,16,1.404813302
강원도,2014-01-05,17,1.848088015
강원도,2014-01-05,18,1.986513626
강원도,2014-01-05,19,1.773088802
강원도,2014-01-05,20,1.488473426
강원도,2014-01-05,21,1.406065752
강원도,2014-01-05,22,1.985884762
강원도,2014-01-05,23,2.131287262
강원도,2014-01-06,00,1.408394964
강원도,2014-01-06,01,1.406373536
강원도,2014-01-06,02,1.396846572
강원도,2014-01-06,03,1.384681442
강원도,2014-01-06,04,1.384814006
강원도,2014-01-06,05,1.46444666
강원도,2014-01-06,06,2.077047906
강원도,2014-01-06,07,2.635491194
강원도,2014-01-06,08,3.806535941
강원도,2014-01-06,09,4.082471813
강원도,2014-01-06,10,3.426434124
강원도,2014-01-06,11,3.161837186
강원도,2014-01-06,12,2.369624419
강원도,2014-01-06,13,2.939938562
강원도,2014-01-06,14,3.011496422
강원도,2014-01-06,15,2.944355763
강원도,2014-01-06,16,3.444205442
강원도,2014-01-06,17,3.627728218
강원도,2014-01-06,18,3.378752304
강원도,2014-01-06,19,2.896770464
강원도,2014-01-06,20,2.58169943
강원도,2014-01-06,21,2.548046331
강원도,2014-01-06,22,2.741846708
강원도,2014-01-06,23,3.298423301
강원도,2014-01-07,00,2.684819355
강원도,2014-01-07,01,2.641523605
강원도,2014-01-07,02,2.208784951
