지역,거래일,시간,계량값
강원도,2021-01-01,00,6.397600485
강원도,2021-01-01,01,6.071396542
강원도,2021-01-01,02,5.770733541
강원도,2021-01-01,03,5.779478036
강원도,2021-01-01,04,5.776674962
강원도,2021-01-01,05,5.747922689
강원도,2021-01-01,06,5.761707395
강원도,2021-01-01,07,5.808354618
강원도,2021-01-01,08,6.489282389
강원도,2021-01-01,09,6.228454692
강원도,2021-01-01,10,6.19762027
강원도,2021-01-01,11,6.151999706
강원도,2021-01-01,12,6.033304226
강원도,2021-01-01,13,6.279512026
강원도,2021-01-01,14,6.249680168
강원도,2021-01-01,15,6.042032187
강원도,2021-01-01,16,5.85507106
강원도,2021-01-01,17,6.133836367
강원도,2021-01-01,18,6.907675227
강원도,2021-01-01,19,6.969830947
강원도,2021-01-01,20,6.781917978
강원도,2021-01-01,21,6.10604142
강원도,2021-01-01,22,6.081082829
강원도,2021-01-01,23,6.642850582
강원도,2021-01-02,00,6.09424361
강원도,2021-01-02,01,5.794274743
강원도,2021-01-02,02,5.812215303
강원도,2021-01-02,03,5.765251881
강원도,2021-01-02,04,5.713578844
강원도,2021-01-02,05,5.359762897
강원도,2021-01-02,06,5.313585044
강원도,2021-01-02,07,5.276464286
강원도,2021-01-02,08,5.544464604
강원도,2021-01-02,09,5.874636512
강원도,2021-01-02,10,5.72323449
강원도,2021-01-02,11,5.463298036
강원도,2021-01-02,12,5.166117083
강원도,2021-01-02,13,5.198650495
강원도,2021-01-02,14,5.462101452
강원도,2021-01-02,15,5.366010789
강원도,2021-01-02,16,5.671954674
강원도,2021-01-02,17,6.800428807
강원도,2021-01-02,18,6.647687244
강원도,2021-01-02,19,6.377903313
강원도,2021-01-02,20,6.802269337
강원도,2021-01-02,21,6.165478826
강원도,2021-01-02,22,5.885011752
강원도,2021-01-02,23,6.462319052
강원도,2021-01-03,00,6.360974826
강원도,2021-01-03,01,5.926750984
강원도,2021-01-03,02,5.877330989
강원도,2021-01-03,03,5.964678014
강원도,2021-01-03,04,5.879538457
강원도,2021-01-03,05,5.688842164
강원도,2021-01-03,06,5.79229429
강원도,2021-01-03,07,5.900866985
강원도,2021-01-03,08,6.401705508
강원도,2021-01-03,09,5.868200112
강원도,2021-01-03,10,5.050469757
강원도,2021-01-03,11,5.054502187
강원도,2021-01-03,12,5.153158773
강원도,2021-01-03,13,5.880024853
강원도,2021-01-03,14,6.19879656
강원도,2021-01-03,15,6.345030217
강원도,2021-01-03,16,6.106071584
강원도,2021-01-03,17,6.194418094
강원도,2021-01-03,18,6.184340354
강원도,2021-01-03,19,6.075018768
강원도,2021-01-03,20,5.999953
강원도,2021-01-03,21,5.81722006
강원도,2021-01-03,22,5.984990876
강원도,2021-01-03,23,6.32784712
강원도,2021-01-04,00,5.874854879
강원도,2021-01-04,01,5.863883218
강원도,2021-01-04,02,5.852863885
강원도,2021-01-04,03,5.829225959
강원도,2021-01-04,04,5.979638229
강원도,2021-01-04,05,6.226197195
강원도,2021-01-04,06,6.742846493
강원도,2021-01-04,07,7.058113791
강원도,2021-01-04,08,7.982803257
강원도,2021-01-04,09,8.015906016
강원도,2021-01-04,10,7.897227919
강원도,2021-01-04,11,7.675465317
