지역,거래일,시간,계량값
강원도,2019-01-01,00,7.9783618
강원도,2019-01-01,01,7.577015276
강원도,2019-01-01,02,7.479720906
강원도,2019-01-01,03,7.487540781
강원도,2019-01-01,04,7.545266764
강원도,2019-01-01,05,7.56165471
강원도,2019-01-01,06,7.783836666
강원도,2019-01-01,07,7.739798577
강원도,2019-01-01,08,7.746888815
강원도,2019-01-01,09,7.835498084
강원도,2019-01-01,10,7.634776634
강원도,2019-01-01,11,7.629796824
강원도,2019-01-01,12,7.790053457
강원도,2019-01-01,13,7.845614596
강원도,2019-01-01,14,7.706415656
강원도,2019-01-01,15,7.720581897
강원도,2019-01-01,16,7.711801623
강원도,2019-01-01,17,8.210612561
강원도,2019-01-01,18,8.622714653
강원도,2019-01-01,19,8.551684517
강원도,2019-01-01,20,8.461133764
강원도,2019-01-01,21,7.921925135
강원도,2019-01-01,22,7.846306671
강원도,2019-01-01,23,8.253503539
강원도,2019-01-02,00,7.761397918
강원도,2019-01-02,01,7.684972582
강원도,2019-01-02,02,7.660474264
강원도,2019-01-02,03,7.680968588
강원도,2019-01-02,04,7.782122502
강원도,2019-01-02,05,8.161204302
강원도,2019-01-02,06,8.467088597
강원도,2019-01-02,07,8.843139845
강원도,2019-01-02,08,9.219664848
강원도,2019-01-02,09,9.850819421
강원도,2019-01-02,10,9.407853136
강원도,2019-01-02,11,8.66677902
강원도,2019-01-02,12,7.966533211
강원도,2019-01-02,13,8.173012517
강원도,2019-01-02,14,8.130651922
강원도,2019-01-02,15,8.368577294
강원도,2019-01-02,16,8.513071834
강원도,2019-01-02,17,8.521732408
강원도,2019-01-02,18,8.619116957
강원도,2019-01-02,19,8.32948746
강원도,2019-01-02,20,7.928910115
강원도,2019-01-02,21,7.805630604
강원도,2019-01-02,22,7.749914481
강원도,2019-01-02,23,7.694438713
강원도,2019-01-03,00,6.843603387
강원도,2019-01-03,01,6.681394976
강원도,2019-01-03,02,6.656094447
강원도,2019-01-03,03,6.640859668
강원도,2019-01-03,04,6.66961941
강원도,2019-01-03,05,6.671451389
강원도,2019-01-03,06,6.762624607
강원도,2019-01-03,07,6.993885747
강원도,2019-01-03,08,7.811499522
강원도,2019-01-03,09,8.777212247
강원도,2019-01-03,10,8.242425067
강원도,2019-01-03,11,8.026877405
강원도,2019-01-03,12,7.605386348
강원도,2019-01-03,13,7.816248213
강원도,2019-01-03,14,7.73887404
강원도,2019-01-03,15,7.887657425
강원도,2019-01-03,16,8.335565638
강원도,2019-01-03,17,8.59830237
강원도,2019-01-03,18,8.513817139
강원도,2019-01-03,19,8.574248012
강원도,2019-01-03,20,8.456282728
강원도,2019-01-03,21,7.624275944
강원도,2019-01-03,22,6.761763591
강원도,2019-01-03,23,7.293186482
강원도,2019-01-04,00,6.849105685
강원도,2019-01-04,01,6.686610642
강원도,2019-01-04,02,6.686424216
강원도,2019-01-04,03,6.708418918
강원도,2019-01-04,04,6.713431115
강원도,2019-01-04,05,6.725699784
강원도,2019-01-04,06,6.794714902
강원도,2019-01-04,07,7.437355812
강원도,2019-01-04,08,8.537151687
강원도,2019-01-04,09,9.11031881
강원도,2019-01-04,10,9.134362664
강원도,2019-01-04,11,9.067891736
강원도,2019-01-04,12,8.408712096
강원도,2019-01-04,13,8.76958301
강원도,2019-01-04,14,8.619764298
강원도,2019-01-04,15,8.414335086
강원도,2019-01-04,16,8.387930776
강원도,2019-01-04,17,8.187915936
강원도,2019-01-04,18,7.967416641
강원도,2019-01-04,19,7.16350761
강원도,2019-01-04,20,7.148624457
강원도,2019-01-04,21,6.894158808
강원도,2019-01-04,22,6.724309159
강원도,2019-01-04,23,7.243790246
강원도,2019-01-05,00,6.898392742
강원도,2019-01-05,01,6.72570217
강원도,2019-01-05,02,6.68527575
강원도,2019-01-05,03,6.655656945
강원도,2019-01-05,04,6.631331648
강원도,2019-01-05,05,6.682761338
강원도,2019-01-05,06,6.674228351
강원도,2019-01-05,07,6.581991265
강원도,2019-01-05,08,7.147111175
강원도,2019-01-05,09,7.269469056
강원도,2019-01-05,10,6.894916704
강원도,2019-01-05,11,6.842093917
강원도,2019-01-05,12,6.465177429
강원도,2019-01-05,13,6.501234643
강원도,2019-01-05,14,6.477648255
강원도,2019-01-05,15,6.447242477
