지역,거래일,시간,계량값
강원도,2020-01-01,00,7.433945774
강원도,2020-01-01,01,7.289627356
강원도,2020-01-01,02,7.191475823
강원도,2020-01-01,03,7.083030583
강원도,2020-01-01,04,7.140514256
강원도,2020-01-01,05,7.141554849
강원도,2020-01-01,06,7.142425216
강원도,2020-01-01,07,7.119828746
강원도,2020-01-01,08,7.326949719
강원도,2020-01-01,09,7.434153104
강원도,2020-01-01,10,7.427602854
강원도,2020-01-01,11,7.42619889
강원도,2020-01-01,12,7.229318674
강원도,2020-01-01,13,7.368044823
강원도,2020-01-01,14,7.383591017
강원도,2020-01-01,15,7.393438263
강원도,2020-01-01,16,7.320543403
강원도,2020-01-01,17,7.370260787
강원도,2020-01-01,18,7.413905782
강원도,2020-01-01,19,7.330026243
강원도,2020-01-01,20,7.182500075
강원도,2020-01-01,21,7.145162311
강원도,2020-01-01,22,7.143605051
강원도,2020-01-01,23,7.239306392
강원도,2020-01-02,00,6.950802997
강원도,2020-01-02,01,6.835063725
강원도,2020-01-02,02,6.911138962
강원도,2020-01-02,03,6.863879477
강원도,2020-01-02,04,6.831722912
강원도,2020-01-02,05,6.814278067
강원도,2020-01-02,06,6.829264527
강원도,2020-01-02,07,6.902382757
강원도,2020-01-02,08,7.29668479
강원도,2020-01-02,09,8.032195347
강원도,2020-01-02,10,7.929643325
강원도,2020-01-02,11,8.056493772
강원도,2020-01-02,12,7.44956618
강원도,2020-01-02,13,7.938011489
강원도,2020-01-02,14,8.127730776
강원도,2020-01-02,15,8.083089456
강원도,2020-01-02,16,8.088002638
강원도,2020-01-02,17,8.001270013
강원도,2020-01-02,18,8.000070777
강원도,2020-01-02,19,7.504123153
강원도,2020-01-02,20,7.163925763
강원도,2020-01-02,21,7.156572558
강원도,2020-01-02,22,7.115651789
강원도,2020-01-02,23,7.466875691
강원도,2020-01-03,00,7.161975497
강원도,2020-01-03,01,7.158902856
강원도,2020-01-03,02,7.143186018
강원도,2020-01-03,03,7.084911367
강원도,2020-01-03,04,7.052520933
강원도,2020-01-03,05,7.08236417
강원도,2020-01-03,06,7.149702637
강원도,2020-01-03,07,7.137682981
강원도,2020-01-03,08,7.804276593
강원도,2020-01-03,09,8.437929372
강원도,2020-01-03,10,8.801212386
강원도,2020-01-03,11,8.342117129
강원도,2020-01-03,12,7.958272057
강원도,2020-01-03,13,8.287615669
강원도,2020-01-03,14,8.295489191
강원도,2020-01-03,15,7.678590092
강원도,2020-01-03,16,7.766971229
강원도,2020-01-03,17,7.912091299
강원도,2020-01-03,18,8.064818545
강원도,2020-01-03,19,8.047977604
강원도,2020-01-03,20,7.895100795
강원도,2020-01-03,21,7.632901766
강원도,2020-01-03,22,7.027746363
강원도,2020-01-03,23,7.57512897
강원도,2020-01-04,00,7.371606441
강원도,2020-01-04,01,6.986703715
강원도,2020-01-04,02,7.020247367
강원도,2020-01-04,03,7.09590965
강원도,2020-01-04,04,7.155239717
강원도,2020-01-04,05,7.179928491
강원도,2020-01-04,06,7.193090193
강원도,2020-01-04,07,7.183382366
강원도,2020-01-04,08,7.602172704
강원도,2020-01-04,09,7.774800888
강원도,2020-01-04,10,7.762571014
강원도,2020-01-04,11,7.583322319
강원도,2020-01-04,12,7.146732041
강원도,2020-01-04,13,7.254002425
강원도,2020-01-04,14,7.162429643
강원도,2020-01-04,15,7.251368125
