지역,거래일,시간,계량값
강원도,2018-01-01,00,5.568843862
강원도,2018-01-01,01,5.017929578
강원도,2018-01-01,02,5.017583859
강원도,2018-01-01,03,5.008656653
강원도,2018-01-01,04,5.031798723
강원도,2018-01-01,05,5.000302389
강원도,2018-01-01,06,4.664049898
강원도,2018-01-01,07,4.640789267
강원도,2018-01-01,08,5.033241959
강원도,2018-01-01,09,5.232327259
강원도,2018-01-01,10,5.311383357
강원도,2018-01-01,11,5.262811187
강원도,2018-01-01,12,5.293227398
강원도,2018-01-01,13,5.273659716
강원도,2018-01-01,14,5.386015627
강원도,2018-01-01,15,5.318741642
강원도,2018-01-01,16,5.338585545
강원도,2018-01-01,17,5.423772175
강원도,2018-01-01,18,5.359874779
강원도,2018-01-01,19,5.314852035
강원도,2018-01-01,20,5.315976782
강원도,2018-01-01,21,5.325967717
강원도,2018-01-01,22,5.456689297
강원도,2018-01-01,23,5.001884303
강원도,2018-01-02,00,4.356176076
강원도,2018-01-02,01,4.302428144
강원도,2018-01-02,02,4.288124175
강원도,2018-01-02,03,4.295777866
강원도,2018-01-02,04,4.493415062
강원도,2018-01-02,05,4.644574189
강원도,2018-01-02,06,5.186837064
강원도,2018-01-02,07,5.539070757
강원도,2018-01-02,08,6.300391365
강원도,2018-01-02,09,6.306795154
강원도,2018-01-02,10,6.626455833
강원도,2018-01-02,11,6.48573765
강원도,2018-01-02,12,5.667055796
강원도,2018-01-02,13,5.678760167
강원도,2018-01-02,14,5.597850895
강원도,2018-01-02,15,5.831227906
강원도,2018-01-02,16,6.537525473
강원도,2018-01-02,17,6.188688734
강원도,2018-01-02,18,6.018377149
강원도,2018-01-02,19,5.221163399
강원도,2018-01-02,20,4.804367423
강원도,2018-01-02,21,4.60510622
강원도,2018-01-02,22,4.635718789
강원도,2018-01-02,23,5.054260172
강원도,2018-01-03,00,4.419711241
강원도,2018-01-03,01,4.271635345
강원도,2018-01-03,02,4.279821077
강원도,2018-01-03,03,4.380080222
강원도,2018-01-03,04,4.440317638
강원도,2018-01-03,05,4.406951005
강원도,2018-01-03,06,4.846750332
강원도,2018-01-03,07,5.693014546
강원도,2018-01-03,08,6.352940523
강원도,2018-01-03,09,6.395562753
강원도,2018-01-03,10,6.904706367
강원도,2018-01-03,11,6.880499569
강원도,2018-01-03,12,5.396554017
강원도,2018-01-03,13,5.635495676
강원도,2018-01-03,14,5.536984316
강원도,2018-01-03,15,5.637736062
강원도,2018-01-03,16,6.214866779
강원도,2018-01-03,17,6.746337127
강원도,2018-01-03,18,6.759162124
강원도,2018-01-03,19,6.111089427
강원도,2018-01-03,20,4.919076343
강원도,2018-01-03,21,4.676587491
강원도,2018-01-03,22,4.686200239
강원도,2018-01-03,23,4.638228216
강원도,2018-01-04,00,4.464397841
강원도,2018-01-04,01,4.40556299
강원도,2018-01-04,02,4.407841961
강원도,2018-01-04,03,4.414792661
강원도,2018-01-04,04,4.440036095
강원도,2018-01-04,05,4.411321612
강원도,2018-01-04,06,4.678098652
강원도,2018-01-04,07,5.238290428
강원도,2018-01-04,08,6.700348176
강원도,2018-01-04,09,6.812560884
강원도,2018-01-04,10,6.838201635
강원도,2018-01-04,11,6.736822702
강원도,2018-01-04,12,5.331777389
강원도,2018-01-04,13,5.794325855
강원도,2018-01-04,14,6.113868349
강원도,2018-01-04,15,6.245342425
강원도,2018-01-04,16,6.586734724
강원도,2018-01-04,17,6.373315336
