지역,거래일,시간,계량값
강원도,2016-01-01,00,1.802648182
강원도,2016-01-01,01,1.349898126
강원도,2016-01-01,02,1.309091522
강원도,2016-01-01,03,1.30624689
강원도,2016-01-01,04,1.315867501
강원도,2016-01-01,05,1.318616141
강원도,2016-01-01,06,1.312731362
강원도,2016-01-01,07,1.158907478
강원도,2016-01-01,08,1.102928537
강원도,2016-01-01,09,1.040955019
강원도,2016-01-01,10,1.041254318
강원도,2016-01-01,11,1.187055301
강원도,2016-01-01,12,1.133787898
강원도,2016-01-01,13,1.137127741
강원도,2016-01-01,14,1.147467356
강원도,2016-01-01,15,1.128099928
강원도,2016-01-01,16,1.147662868
강원도,2016-01-01,17,1.801930357
강원도,2016-01-01,18,2.268978317
강원도,2016-01-01,19,1.895114058
강원도,2016-01-01,20,1.731175748
강원도,2016-01-01,21,1.488709332
강원도,2016-01-01,22,1.494479486
강원도,2016-01-01,23,1.895852689
강원도,2016-01-02,00,1.379888572
강원도,2016-01-02,01,1.108994253
강원도,2016-01-02,02,1.104145189
강원도,2016-01-02,03,1.1073087
강원도,2016-01-02,04,1.104351834
강원도,2016-01-02,05,1.101620442
강원도,2016-01-02,06,1.093508682
강원도,2016-01-02,07,1.138752501
강원도,2016-01-02,08,1.461944564
강원도,2016-01-02,09,1.496997431
강원도,2016-01-02,10,1.475337634
강원도,2016-01-02,11,1.579170106
강원도,2016-01-02,12,1.121851579
강원도,2016-01-02,13,1.082945776
강원도,2016-01-02,14,1.085233801
강원도,2016-01-02,15,1.101650081
강원도,2016-01-02,16,1.089045173
강원도,2016-01-02,17,1.36361239
강원도,2016-01-02,18,1.807006696
강원도,2016-01-02,19,1.812509298
강원도,2016-01-02,20,1.688058067
강원도,2016-01-02,21,1.610329189
강원도,2016-01-02,22,1.911263781
강원도,2016-01-02,23,2.155403117
강원도,2016-01-03,00,1.768169617
강원도,2016-01-03,01,1.143512445
강원도,2016-01-03,02,1.084420695
강원도,2016-01-03,03,1.075443306
강원도,2016-01-03,04,1.055257941
강원도,2016-01-03,05,1.000733076
강원도,2016-01-03,06,0.930839612
강원도,2016-01-03,07,0.903558534
강원도,2016-01-03,08,0.893126583
강원도,2016-01-03,09,0.893572988
강원도,2016-01-03,10,1.100215562
강원도,2016-01-03,11,1.478815959
강원도,2016-01-03,12,1.044587952
강원도,2016-01-03,13,1.011428928
강원도,2016-01-03,14,1.022930401
강원도,2016-01-03,15,0.985272616
강원도,2016-01-03,16,0.971710406
강원도,2016-01-03,17,1.402217576
강원도,2016-01-03,18,1.819951521
강원도,2016-01-03,19,1.665391464
강원도,2016-01-03,20,1.554483641
강원도,2016-01-03,21,1.639617479
강원도,2016-01-03,22,2.072690057
강원도,2016-01-03,23,2.30086685
강원도,2016-01-04,00,1.44307496
강원도,2016-01-04,01,1.378688238
강원도,2016-01-04,02,1.398779563
강원도,2016-01-04,03,1.38641276
강원도,2016-01-04,04,1.3857936
강원도,2016-01-04,05,1.378901141
강원도,2016-01-04,06,1.380972942
강원도,2016-01-04,07,1.388277847
강원도,2016-01-04,08,1.669674104
강원도,2016-01-04,09,1.690567147
강원도,2016-01-04,10,1.912916518
강원도,2016-01-04,11,2.020769106
강원도,2016-01-04,12,1.395370434
강원도,2016-01-04,13,1.493079585
강원도,2016-01-04,14,2.085077023
강원도,2016-01-04,15,2.127858718
강원도,2016-01-04,16,2.162705013
강원도,2016-01-04,17,2.41324138
강원도,2016-01-04,18,2.397949275
강원도,2016-01-04,19,2.38371879
강원도,2016-01-04,20,2.039216448
강원도,2016-01-04,21,1.47580479
강원도,2016-01-04,22,1.507249892
강원도,2016-01-04,23,2.149033502
강원도,2016-01-05,00,1.73643978
강원도,2016-01-05,01,1.464393073
강원도,2016-01-05,02,1.403107059
강원도,2016-01-05,03,1.417663602
강원도,2016-01-05,04,1.452784192
강원도,2016-01-05,05,1.440856949
강원도,2016-01-05,06,1.393952068
강원도,2016-01-05,07,1.386370222
강원도,2016-01-05,08,1.735358716
강원도,2016-01-05,09,2.28424823
강원도,2016-01-05,10,2.231592827
강원도,2016-01-05,11,2.193278751
강원도,2016-01-05,12,1.372318171
강원도,2016-01-05,13,1.868658421
강원도,2016-01-05,14,1.870358099
강원도,2016-01-05,15,1.754096346
강원도,2016-01-05,16,1.800476061
강원도,2016-01-05,17,2.134492518
강원도,2016-01-05,18,1.872397315
강원도,2016-01-05,19,1.79270458
강원도,2016-01-05,20,1.768173634
강원도,2016-01-05,21,1.428581411
강원도,2016-01-05,22,1.431607167
강원도,2016-01-05,23,2.10669186
강원도,2016-01-06,00,1.428479805
강원도,2016-01-06,01,1.303692781
강원도,2016-01-06,02,1.2553206
강원도,2016-01-06,03,1.270785657
강원도,2016-01-06,04,1.287316026
강원도,2016-01-06,05,1.486078301
강원도,2016-01-06,06,1.51361457
강원도,2016-01-06,07,1.630314799
강원도,2016-01-06,08,2.416334478
강원도,2016-01-06,09,3.213442059
강원도,2016-01-06,10,3.179946773
강원도,2016-01-06,11,2.736123915
강원도,2016-01-06,12,1.448705634
강원도,2016-01-06,13,1.554534784
강원도,2016-01-06,14,1.864324528
강원도,2016-01-06,15,1.657461763
강원도,2016-01-06,16,1.861315705
강원도,2016-01-06,17,1.858348089
강원도,2016-01-06,18,1.561917944
강원도,2016-01-06,19,1.529211192
강원도,2016-01-06,20,1.547880196
강원도,2016-01-06,21,1.541408575
강원도,2016-01-06,22,1.490364433
강원도,2016-01-06,23,2.181064084
강원도,2016-01-07,00,1.627417567
강원도,2016-01-07,01,1.380121507
강원도,2016-01-07,02,1.284326051
강원도,2016-01-07,03,1.291465221
강원도,2016-01-07,04,1.301290977
강원도,2016-01-07,05,1.289923968
강원도,2016-01-07,06,1.235213368
